alpha,beta,CL,CD
-3.98,0.0,-0.133333333,0.0728
-2.98,0.0,-0.066666667,0.0672
-0.98,0.0,0.073015873,0.0552
1.02,0.0,0.225396825,0.051
3.02,0.0,0.384126984,0.052
4.02,0.0,0.46031746,0.0536
5.02,0.0,0.536507937,0.06
7.02,0.0,0.673015873,0.07
9.02,0.0,0.803174603,0.075
10.02,0.0,0.873015873,0.085
11.02,0.0,0.93015873,0.09
13.02,0.0,1.041269841,0.115
15.02,0.0,1.146031746,0.135
17.02,0.0,1.24,0.151
19.02,0.0,1.342857143,0.171
21.02,0.0,0.88,0.31
23.02,0.0,0.91,0.34
25.02,0.0,0.93,0.38
